stationNumber,slope,lowBound,hightBound,slopeInt,meanWind,pw1990,pw2017,pwDiff,mw1990,mw1991,mw1992,mw1993,mw1994,mw1995,mw1996,mw1997,mw1998,mw1999,mw2000,mw2001,mw2002,mw2003,mw2004,mw2005,mw2006,mw2007,mw2008,mw2009,mw2010,mw2011,mw2012,mw2013,mw2014,mw2015,mw2016,mw2017
852930-99999,-0.2865353037766937,-0.5087126571888181,-0.06435795036456926,-1,35.464285714285715,14,287,87.0,32,33,39,39,46,43,36,35,39,39,40,42,37,37,35,28,24,31,38,35,34,36,37,38,30,34,32,24
443040-99999,0.21291735084838986,0.044235754418271545,0.3815989472785082,1,38.214285714285715,282,272,9.999999999999988,37,34,32,38,35,39,40,37,38,37,41,40,37,33,38,38,37,37,41,42,40,31,31,43,40,43,45,46
942480-99999,-0.1308155446086488,-0.20551595678624457,-0.056115132431053025,-1,51.0,91,90,1.0000000000000013,54,52,52,53,52,51,49,54,54,53,51,53,48,50,51,51,51,51,51,47,52,52,49,48,50,50,49,50
948440-99999,0.2079912424740036,-0.10563331819130148,0.5216158031393087,0,35.57142857142857,272,248,24.000000000000036,32,32,27,28,33,26,29,26,36,30,46,50,49,41,39,42,41,45,38,34,30,31,34,35,36,36,36,34
800020-99999,-1.7728516694034344,-2.7850793200855524,-0.7606240187213167,-1,43.142857142857146,288,70,142.00000000000003,50,163,54,45,55,45,50,53,39,49,41,44,41,31,36,27,49,32,32,35,31,36,32,29,26,31,23,29
860860-99999,0.20717022441160826,0.03959864004340255,0.374741808779814,1,16.678571428571427,15,45,30.000000000000004,16,12,12,15,16,13,11,13,12,13,15,17,19,20,17,18,21,22,22,24,24,20,17,18,19,15,13,13
719450-99999,0.015325670498087002,-0.08780324917220426,0.11845459016837827,0,19.0,293,302,9.0,22,22,21,21,18,18,20,18,16,17,18,20,15,16,18,18,18,20,18,18,19,16,18,22,20,21,21,23
357960-99999,0.0478927203065187,-0.059605174472831896,0.1553906150858693,0,41.17857142857143,34,53,18.999999999999996,46,42,42,41,41,41,41,39,37,39,42,42,41,42,38,39,38,38,40,39,43,42,44,42,42,43,45,44
943760-99999,0.4833059660645933,0.309231801996829,0.6573801301323576,1,19.857142857142858,67,87,19.99999999999999,13,11,21,17,16,16,17,18,16,21,19,16,18,17,17,18,17,16,12,22,28,28,28,28,28,26,27,25
766800-99999,-0.18226600985221617,-0.3634386160047697,-0.0010934036996626817,-1,25.714285714285715,340,325,15.000000000000037,32,29,26,26,34,21,23,23,22,21,25,32,31,28,27,27,27,31,29,29,20,23,22,22,22,22,23,23
722260-13895,-0.28270388615216324,-0.37064599457348735,-0.1947617777308391,-1,27.035714285714285,243,243,0.0,34,33,34,27,29,30,28,28,29,26,27,26,25,25,26,27,27,27,29,26,24,24,23,24,24,25,25,25
479270-99999,-0.12671045429665834,-0.24629504453575807,-0.007125864057558592,-1,47.32142857142857,84,60,24.000000000000007,54,54,51,50,47,46,47,45,44,46,47,45,44,46,50,50,47,47,44,46,45,47,49,48,46,48,46,46
725020-14734,-0.16119321291735506,-0.22696589088934782,-0.09542053494536229,-1,44.17857142857143,269,288,18.99999999999999,44,45,46,47,46,45,44,48,45,47,45,44,46,44,44,45,45,44,43,43,44,40,41,42,42,41,43,44
949620-99999,-0.2148330596606498,-0.5372430986424153,0.1075769793211157,0,98.46428571428571,283,319,36.0,101,105,93,104,113,100,107,95,104,87,97,84,107,98,102,103,104,91,95,94,95,95,93,97,88,97,107,101
085050-99999,0.36699507389163544,0.09485773062549463,0.6391324171577762,1,49.107142857142854,265,235,30.000000000000018,49,47,50,47,50,49,47,29,31,42,44,56,54,48,52,52,52,51,51,51,52,50,51,55,51,54,54,56
725140-14778,-0.4365079365079391,-0.5910658481402133,-0.2819500248756649,-1,28.892857142857142,282,279,3.000000000000017,39,40,40,37,34,32,28,30,25,27,28,27,29,28,28,25,27,26,24,26,28,24,24,25,28,26,27,27
312950-99999,-0.07279693486589897,-0.3171579394235174,0.17156406969171945,0,26.5,351,330,21.000000000000018,30,29,27,29,30,27,30,30,27,30,28,29,25,22,23,23,21,22,21,18,18,23,25,25,22,36,39,33
566510-99999,-0.09605911330049202,-0.20677863132414995,0.014660404723165904,0,29.107142857142858,260,244,16.00000000000002,33,33,33,32,31,31,30,30,27,26,24,26,26,27,30,29,27,29,29,30,29,26,31,29,31,30,29,27
947350-99999,0.8946360153256924,0.6035363748484099,1.1857356558029748,1,31.035714285714285,298,301,3.000000000000017,30,26,20,21,27,26,25,23,23,22,20,21,24,22,25,30,32,33,38,38,43,46,48,52,32,38,42,42
260630-99999,0.1603721948549515,0.05254024335106976,0.2682041463588332,1,30.285714285714285,239,242,3.000000000000017,23,32,32,31,28,29,26,27,27,30,32,31,30,32,30,30,29,32,34,29,29,33,32,31,29,34,32,34
941860-99999,0.37547892720307807,0.15048246812444188,0.6004753862817143,1,32.785714285714285,136,121,15.000000000000009,37,28,28,33,30,31,25,21,24,22,24,32,36,36,34,37,38,38,41,34,38,35,36,38,39,35,35,33
946810-99999,0.5046524356869246,0.24851758878449237,0.7607872825893569,1,36.42857142857143,259,272,13.000000000000005,28,27,24,22,24,21,39,39,39,41,42,41,42,42,40,40,38,41,40,40,37,37,40,40,38,39,41,38
946550-99999,1.1565407772304563,0.711905347004121,1.6011762074567917,1,35.642857142857146,262,183,79.0,28,20,16,13,11,10,9,22,43,44,45,36,45,45,44,46,45,43,44,46,42,43,44,43,43,43,43,42
484600-99999,-0.32211275314724164,-0.5024653098081284,-0.1417601964863549,-1,16.75,237,218,19.000000000000014,20,19,19,19,34,23,16,17,21,20,18,16,12,12,12,15,13,14,17,16,14,19,15,13,14,13,15,13
042700-99999,0.003284072249590042,-0.1813869824543209,0.18795512695350097,0,42.142857142857146,76,80,3.999999999999993,43,47,40,37,45,42,39,44,41,39,39,41,49,47,38,42,38,48,38,43,47,41,45,47,39,35,45,41
833390-99999,-1.2203065134099838,-1.7835240087005275,-0.65708901811944,-1,32.464285714285715,127,0,127.00000000000001,44,45,47,24,49,17,44,39,43,40,41,40,42,42,39,39,35,40,36,35,38,38,29,23,0,0,0,0
123450-99999,-0.061850027367264165,-0.2770647931017666,0.1533647383672383,0,39.714285714285715,216,248,31.999999999999993,47,41,41,41,40,38,39,40,41,37,37,34,34,31,44,45,42,47,44,36,34,41,43,42,43,44,32,34
765773-99999,-0.5333880678708341,-0.8041675765122496,-0.26260855922941867,-1,26.821428571428573,60,43,16.999999999999993,34,37,51,31,32,30,31,19,26,22,21,39,28,20,26,23,23,28,28,24,23,23,21,23,20,23,23,22
711200-99999,0.10810071154898793,0.021860804516350862,0.194340618581625,1,30.535714285714285,285,295,10.000000000000039,28,28,27,27,26,29,31,32,30,33,31,33,32,31,33,32,33,32,31,30,30,32,32,30,31,29,30,32
961450-99999,0.11330049261084299,0.0025186623063269686,0.224082322915359,1,22.142857142857142,33,161,128.0,25,19,20,18,17,20,21,21,22,25,25,26,25,23,19,22,21,19,21,23,23,24,22,26,23,24,23,23
317070-99999,0.2621784345922338,0.07352324650133013,0.4508336226831374,1,18.714285714285715,324,306,18.0,18,17,18,19,18,19,17,19,16,18,19,12,16,16,16,17,15,17,15,18,16,16,16,24,31,28,26,27
619840-99999,0.2416529830323041,-0.13633468834663776,0.6196406544112459,0,51.035714285714285,126,113,12.999999999999993,56,39,41,63,43,47,47,34,52,30,60,56,59,54,56,55,56,57,56,58,54,50,60,50,47,50,51,48
967390-99999,0.1015325670498081,-0.0574415035997312,0.2605066376993474,0,14.535714285714286,310,251,58.99999999999999,11,9,8,9,13,18,16,17,21,20,16,16,11,15,13,12,14,15,15,14,18,19,17,16,14,11,12,17
080850-99999,-0.11439518336070525,-0.24602933381747805,0.017238967096067537,0,34.785714285714285,340,337,3.000000000000017,33,35,35,33,35,36,39,31,39,36,33,39,35,35,37,41,37,37,32,34,36,34,33,35,34,31,30,29
253780-99999,0.03448275862068473,-0.2765594083478728,0.34552492558924225,0,44.92857142857143,342,340,1.9999999999999774,38,46,39,46,43,42,42,47,60,48,58,47,47,41,52,47,37,36,33,42,41,42,39,47,50,48,55,45
042030-99999,0.11275314723591112,-0.052549331120487874,0.2780556255923101,0,56.642857142857146,240,322,82.00000000000004,60,57,55,50,57,53,58,59,60,51,55,54,61,61,51,54,52,55,55,61,56,55,56,61,62,61,57,59
084950-99999,-0.2640941434044943,-0.4119642556493474,-0.11622403115964114,-1,54.25,142,102,39.99999999999999,55,54,55,60,55,61,60,62,56,53,56,56,52,53,53,55,52,54,57,52,51,50,44,54,51,50,54,54
306270-99999,-0.07416529830322904,-0.1453162470268592,-0.0030143495795988823,-1,19.464285714285715,11,347,23.999999999999996,22,22,18,21,21,21,21,20,22,18,19,18,17,17,19,18,20,19,21,20,20,17,17,19,19,20,19,20
317130-99999,0.28981937602627517,0.16641118107431135,0.413227570978239,1,16.892857142857142,306,259,46.99999999999998,11,6,8,14,17,15,16,18,18,18,16,17,18,19,21,20,19,17,17,19,19,17,17,18,19,19,20,20
411360-99999,-0.1048166392993935,-0.39336176403772155,0.18372848543893455,0,33.32142857142857,57,77,20.000000000000004,42,27,40,41,45,41,29,31,35,35,34,30,25,25,19,24,32,31,34,35,30,32,36,35,37,35,37,36
804030-99999,0.3949096880131441,-0.18568506236210836,0.9755044383883965,0,66.10714285714286,90,79,11.000000000000004,63,70,70,78,66,57,62,67,65,60,61,67,66,61,58,49,59,63,58,61,45,42,73,86,88,91,89,76
085090-99999,0.471538040503562,0.20666783581721215,0.7364082451899119,1,47.464285714285715,324,248,76.0,38,36,40,40,42,41,48,38,38,43,46,57,59,57,51,52,52,51,48,50,53,50,50,55,57,45,46,46
890590-99999,0.6209633278598727,0.31300907097406044,0.928917584745685,1,68.60714285714286,180,99,81.0,43,69,70,68,63,74,57,62,58,62,65,72,67,72,68,66,69,71,61,76,76,78,81,77,76,75,67,78
949960-99999,0.6694033935413346,0.48355344852997917,0.85525333855269,1,47.5,107,122,14.999999999999996,39,33,40,34,40,36,39,44,47,50,46,48,49,53,51,52,50,52,55,53,54,55,55,53,50,52,49,51
726360-14840,-0.34646962233169126,-0.46765738917150645,-0.22528185549187604,-1,43.642857142857146,232,247,14.999999999999982,54,50,51,50,48,46,43,43,41,43,42,44,45,43,44,41,42,43,41,39,39,40,40,41,43,43,41,42
564920-99999,0.23754789272031096,0.16649297518714173,0.3086028102534802,1,8.928571428571429,335,286,49.00000000000001,7,7,6,6,7,4,6,5,10,10,10,7,9,8,7,10,12,10,10,10,9,10,10,11,13,10,13,13
442850-99999,0.8032293377121131,0.569109889405788,1.0373487860184383,1,17.535714285714285,343,13,30.00000000000003,13,15,11,12,12,11,13,12,14,14,11,12,10,9,11,13,15,13,15,23,25,20,26,30,32,33,33,33
946730-99999,0.3957307060755486,0.0345330776326403,0.756928334518457,1,25.571428571428573,266,69,163.0,32,30,27,27,23,23,23,19,20,18,13,11,12,15,9,26,34,33,32,36,29,30,32,35,33,32,32,30
152800-99999,-0.38861521620142925,-0.8266425388822822,0.04941210647942368,0,85.5,275,295,20.00000000000003,91,85,106,99,95,97,79,81,82,76,74,76,77,79,82,89,94,106,95,86,89,74,79,86,87,82,75,73
076100-99999,-0.11412151067323725,-0.1572214892381513,-0.07102153210832321,-1,24.607142857142858,288,283,4.999999999999995,25,25,26,24,25,27,26,26,27,26,26,26,25,24,24,24,24,25,24,24,24,22,23,24,24,23,23,23
165390-99999,-0.3801313628899941,-0.5418721789997509,-0.21839054678023734,-1,51.67857142857143,286,299,13.000000000000005,51,62,50,58,56,57,57,59,47,54,48,53,53,53,52,49,52,56,51,50,53,49,48,46,44,46,45,48
262580-99999,0.1004378762999519,-0.11796114386154974,0.3188368964614535,0,23.107142857142858,247,223,24.000000000000007,28,27,25,26,26,25,22,22,23,12,21,20,18,19,18,18,16,18,20,24,24,29,28,26,26,29,28,29
384390-99999,0.4887794198139115,0.33526522944673404,0.642293610181089,1,25.142857142857142,14,46,32.0,21,20,27,24,21,19,14,16,18,24,24,23,27,27,25,24,26,26,27,22,29,29,29,32,33,33,32,32
300540-99999,-0.09742747673782276,-0.2584543074251081,0.06359935394946262,0,24.571428571428573,218,242,24.000000000000007,26,25,30,28,27,26,25,26,25,24,22,26,25,28,26,20,21,22,23,18,19,21,19,22,27,29,29,29
128430-99999,-0.09469074986316658,-0.15308269540006444,-0.03629880432626872,-1,24.785714285714285,332,302,30.000000000000018,24,25,28,27,27,27,25,26,26,24,25,25,25,24,25,24,22,25,24,24,24,22,24,25,23,24,24,26
431980-99999,-0.3730158730158718,-0.5319246998432174,-0.21410704618852616,-1,26.321428571428573,264,261,3.000000000000017,39,34,31,31,31,29,31,29,26,25,24,24,24,25,27,26,26,23,21,21,18,21,23,24,23,26,27,28
038030-99999,0.18719211822660575,0.013550037876271515,0.36083419857694,1,67.5,260,247,13.000000000000005,68,68,67,67,69,65,67,66,70,66,67,62,67,65,63,63,65,63,64,63,65,71,71,74,73,78,71,72
717070-99999,0.11302681992337216,-0.012769485536232333,0.23882312538297665,0,47.75,253,257,4.000000000000005,45,52,49,43,49,47,47,48,46,48,48,45,48,46,49,45,44,49,46,47,47,46,46,47,50,53,53,54
946330-99999,0.37985769020252236,0.2568043699737373,0.5029110104313075,1,23.071428571428573,303,100,157.0,17,19,18,17,15,17,20,20,21,21,24,24,26,26,26,26,25,28,25,25,24,25,26,31,28,23,22,27
429710-99999,-0.41461412151067834,-0.5813649718830969,-0.24786327113825976,-1,29.892857142857142,203,208,5.0000000000000195,37,41,38,38,36,34,35,32,30,26,25,26,25,25,26,26,29,31,31,29,31,26,29,29,25,26,24,27
476820-99999,-0.21264367816091723,-0.32426184752679,-0.10102550879504446,-1,39.892857142857146,208,305,97.0,49,39,40,40,39,41,40,43,41,44,42,40,42,40,44,39,38,38,36,39,40,39,37,41,37,37,35,37
571930-99999,-0.09058565955117792,-0.19631908924890268,0.015147770146546821,0,16.892857142857142,16,82,66.0,18,16,18,19,19,18,19,19,18,18,18,19,18,17,17,16,14,14,13,14,14,12,13,16,18,19,20,19
012090-99999,0.11767925561029347,-0.051178020063369134,0.28653653128395606,0,21.928571428571427,258,248,9.999999999999988,22,15,15,18,21,24,16,23,22,24,28,29,20,23,23,23,22,22,25,26,17,27,19,20,23,24,21,22
072880-99999,-0.4526546250684257,-0.5616297879213833,-0.3436794622154681,-1,20.071428571428573,247,240,7.000000000000022,25,23,24,25,24,23,21,21,25,24,24,27,26,23,19,17,18,20,18,16,16,14,17,15,13,15,14,15
718720-99999,0.3593322386425923,0.2006570389461814,0.5180074383390032,1,39.535714285714285,247,252,4.999999999999995,39,35,34,31,38,33,38,42,34,37,37,46,42,41,39,41,39,39,37,36,37,45,43,42,42,44,47,49
479360-99999,-0.0845648604269264,-0.19252732683720952,0.02339760598335673,0,52.82142857142857,78,59,18.99999999999999,59,58,52,54,51,51,53,51,50,53,54,51,53,54,54,55,51,54,48,52,53,54,55,53,53,52,51,50
722446-93987,-0.4365079365079399,-0.5520132314131749,-0.3210026416027048,-1,28.821428571428573,154,144,10.000000000000014,38,36,38,33,31,32,34,30,33,31,31,26,28,26,26,23,28,25,29,25,25,28,24,24,26,25,25,27
266450-99999,-0.21729611384783767,-0.33611951280314567,-0.09847271489252965,-1,22.5,240,226,13.999999999999968,29,26,26,27,25,23,22,25,25,23,23,23,25,23,19,17,17,21,21,18,18,21,20,21,23,24,23,22
075000-99999,-0.3697318007662924,-1.4903894482866167,0.7509258467540318,0,51.464285714285715,288,303,14.999999999999982,53,52,26,36,164,41,33,38,55,53,54,54,53,49,49,47,49,51,50,50,48,46,49,49,50,46,48,48
010330-99999,-0.14915161466885268,-0.5545880928703842,0.2562848635326789,0,56.892857142857146,169,176,6.9999999999999964,66,65,66,68,61,63,60,61,55,34,28,51,56,57,56,59,55,55,57,56,56,59,57,58,58,62,55,59
833590-99999,0.07197591680350701,-0.10084587641953086,0.24479771002654488,0,20.75,265,63,158.00000000000003,23,18,15,16,19,19,25,22,22,22,22,24,19,21,24,20,20,21,21,19,22,16,15,27,18,28,27,16
875760-99999,-0.18938149972632917,-0.2514638043780465,-0.12729919507461182,-1,35.42857142857143,42,62,19.999999999999996,39,37,38,39,37,38,38,39,33,36,36,35,36,35,35,34,33,33,35,35,33,35,34,33,33,34,34,35
780620-99999,-0.5604816639299502,-0.7403990171986281,-0.3805643106612724,-1,43.07142857142857,82,87,4.999999999999995,48,39,48,51,43,52,56,50,49,46,48,47,43,44,46,39,40,39,43,39,42,40,39,36,35,34,33,37
029580-99999,0.163108921729619,-0.07387442089796473,0.4000922643572027,0,29.0,265,230,35.000000000000014,33,30,31,31,30,31,8,32,29,25,19,28,29,30,27,29,28,28,30,30,30,31,30,33,31,33,33,33
475420-99999,-0.08100711548987516,-0.14693671457138452,-0.015077516408365785,-1,45.57142857142857,253,243,9.999999999999988,47,48,47,47,46,44,46,44,46,47,45,47,46,44,49,46,46,45,43,45,44,46,42,45,46,45,45,45
958810-99999,0.2241379310344854,-0.06660107129163198,0.5148769333606028,0,32.82142857142857,295,320,24.999999999999975,29,29,26,25,33,37,40,37,37,28,33,32,38,34,31,31,27,30,28,30,27,28,34,34,30,31,52,48
725180-14735,-0.26792556102901105,-0.36662901106387125,-0.16922211099415083,-1,34.607142857142854,240,257,17.00000000000001,41,38,40,41,38,37,34,36,33,36,35,34,35,33,35,34,33,33,30,31,33,30,31,31,34,34,35,34
318660-99999,0.03886152162014678,-0.12181299737825,0.19953604061854355,0,40.5,263,269,5.999999999999983,44,42,43,41,39,41,36,31,40,37,40,37,47,45,44,42,41,35,41,39,40,38,40,42,43,43,42,41
959740-99999,0.24958949096881247,0.07538308811523609,0.42379589382238886,1,24.5,324,295,28.99999999999998,30,30,19,22,23,22,19,16,20,18,18,21,26,25,25,26,26,26,26,27,25,26,26,31,30,29,28,26
284810-99999,-0.11275314723590654,-0.18687846678147357,-0.038627827690339525,-1,27.5,201,208,6.9999999999999964,30,30,28,29,28,29,26,28,30,30,26,26,30,28,28,27,27,28,26,25,25,25,24,26,29,28,26,28
768056-99999,-0.1940339354132574,-0.6427183007815613,0.2546504299550465,0,26.178571428571427,240,287,47.00000000000003,18,17,21,16,19,26,49,52,39,41,27,30,30,28,25,29,21,20,22,22,24,24,12,18,24,27,27,25
477900-99999,0.035030103995616346,-0.07357855017646123,0.14363875816769392,0,49.57142857142857,292,290,1.9999999999999774,43,51,53,49,49,49,49,48,49,47,48,50,54,50,51,54,51,51,48,48,50,50,49,51,50,47,48,51
636240-99999,nan,nan,nan,0,34.74074074074074,177.0,nan,nan,44.0,43.0,43.0,36.0,39.0,39.0,48.0,32.0,34.0,38.0,47.0,44.0,39.0,48.0,52.0,41.0,33.0,0.0,0.0,33.0,32.0,34.0,29.0,28.0,23.0,28.0,31.0,nan
545273-99999,-0.1275314723590588,-0.29350850215298063,0.038445557434863054,0,33.857142857142854,227,281,54.00000000000003,38,38,44,41,36,37,32,31,31,31,29,30,30,32,32,33,31,31,31,32,37,35,35,35,32,34,35,35
403940-99999,0.036945812807886974,-0.15172208452979943,0.22561371014557338,0,33.892857142857146,314,209,105.00000000000001,39,37,36,33,32,30,32,35,32,30,31,30,23,31,35,34,37,40,39,41,39,34,34,34,34,35,31,31
527870-99999,0.11658456486042768,0.027313193333736635,0.20585593638711872,1,52.357142857142854,358,358,0.0,50,52,52,51,54,52,53,50,50,53,50,49,48,54,54,53,52,53,53,54,56,53,50,51,54,54,56,55
013220-99999,0.6891078270388818,0.415071251349035,0.9631444027287287,1,21.928571428571427,245,27,142.0,25,23,22,12,18,14,15,16,16,10,9,13,16,19,21,21,24,22,25,23,21,27,27,31,37,40,34,33
852470-99999,-0.13273125342090628,-0.3297717623997688,0.06430925555795627,0,22.607142857142858,337,0,23.00000000000001,29,30,14,19,17,25,25,28,23,16,24,30,25,26,27,22,21,23,23,21,25,19,19,19,21,23,21,18
722170-03813,-0.31554460864805794,-0.4140332624346736,-0.2170559548614423,-1,26.035714285714285,343,266,77.0,34,33,32,30,26,28,28,28,27,26,26,25,26,22,27,27,25,24,25,24,22,24,22,22,22,22,26,26
514950-99999,1.7110016420361545,1.1222935372402567,2.299709746832052,1,72.5,341,17,36.000000000000014,55,48,45,46,48,42,44,42,48,89,84,85,84,88,88,84,84,84,82,86,91,85,82,84,83,82,83,84
719640-99999,0.16037219485495696,0.01141880785303187,0.3093255818568821,1,36.642857142857146,178,168,9.999999999999988,36,36,38,33,39,32,31,34,33,39,38,43,39,36,35,33,35,36,33,31,37,38,38,40,41,41,41,40
945940-99999,0.024356869184451235,-0.2204181430986887,0.26913188146759115,0,78.89285714285714,183,115,68.0,73,72,71,71,75,77,82,86,83,92,88,81,84,82,80,80,76,76,81,79,79,79,80,80,77,76,74,75
592090-99999,0.10125889436234575,-0.025668700371246217,0.22818648909593772,0,15.071428571428571,236,278,41.999999999999986,16,17,16,16,16,15,15,15,14,10,10,9,11,10,12,17,17,17,16,18,18,16,17,16,16,17,18,17
718000-99999,0.006841817186637844,-0.5676573674558578,0.5813410018291336,0,81.89285714285714,263,271,7.99999999999996,74,78,75,67,77,75,78,77,76,83,85,88,95,92,92,105,99,103,101,97,81,75,70,71,71,71,65,72
110340-99999,0.006841817186646837,-0.19700440130189353,0.2106880356751872,0,31.75,250,268,18.0,34,33,33,34,34,36,33,31,32,20,16,34,31,33,36,33,32,33,32,31,32,31,32,33,32,31,32,35
672310-99999,-0.1956759715380444,-0.7279351533413049,0.3365832102652161,0,19.535714285714285,145,135,10.000000000000014,21,11,10,12,16,18,22,65,38,31,16,15,13,12,11,22,23,25,22,18,17,17,8,17,13,16,18,20
873710-99999,-0.1650246305418711,-0.33777175513957647,0.007722494055834278,0,34.75,120,121,1.0000000000000142,41,39,38,41,37,33,32,42,32,33,34,34,35,32,34,30,31,32,31,32,29,42,40,35,35,33,32,34
125700-99999,0.02052545155993446,-0.07468261371310636,0.11573351683297528,0,28.107142857142858,256,267,10.999999999999977,28,25,26,28,31,30,28,28,31,27,26,27,26,24,31,30,27,32,30,29,28,28,28,29,26,28,27,29
943930-99999,-0.15955117679255115,-0.4698856424302258,0.1507832888451235,0,75.75,146,123,22.999999999999993,86,92,73,76,80,78,73,78,76,78,73,70,75,74,69,61,81,64,67,75,80,78,72,75,84,83,74,76
876920-99999,-0.34756431308155167,-0.5460069049441668,-0.14912172121893655,-1,42.142857142857146,313,346,32.999999999999986,56,59,49,44,43,43,42,39,41,38,41,44,41,41,41,39,38,37,39,39,39,41,40,43,41,41,40,41
723495-13987,-0.19841269841270043,-0.29401471534741364,-0.10281068147798723,-1,42.107142857142854,176,188,12.000000000000018,46,46,44,44,42,45,49,44,41,42,43,41,40,41,43,40,43,38,42,41,38,42,40,39,44,40,40,41
957580-99999,-0.08182813355227159,-0.18017134901242915,0.016515081907885976,0,32.535714285714285,276,206,69.99999999999997,35,34,33,30,35,36,35,31,33,31,31,27,36,33,33,32,35,34,32,35,30,32,31,31,32,31,31,32
475450-99999,-0.18582375478927715,-0.2601826897117288,-0.11146481986682549,-1,42.25,285,276,9.0,42,46,46,48,44,43,44,43,42,43,44,42,40,41,43,43,42,42,40,40,39,40,41,41,42,43,39,40
013170-99999,0.11439518336070684,-0.09858094789688171,0.3273713146182954,0,33.92857142857143,162,162,0.0,38,34,37,33,32,33,29,36,37,23,19,30,34,36,37,39,37,36,34,35,31,36,33,35,38,38,34,36
726930-24221,-0.26053639846743415,-0.3694713459489986,-0.1516014509858697,-1,31.142857142857142,216,230,13.999999999999995,38,35,37,34,37,33,33,29,32,33,29,30,31,31,29,29,32,29,30,28,27,28,29,25,31,30,31,32
948280-99999,-0.5766283524904294,-0.7294691294731424,-0.42378757550771645,-1,49.82142857142857,276,281,5.000000000000045,58,58,58,60,62,60,56,49,50,48,50,48,50,48,47,45,44,47,47,46,44,44,47,48,44,46,47,44
722400-03937,-0.34017515051997904,-0.4577992687582382,-0.2225510322817199,-1,33.464285714285715,133,116,16.999999999999986,43,41,39,40,37,37,35,34,35,31,33,31,32,30,31,30,33,30,34,31,31,33,29,30,32,31,31,33
323890-99999,-0.022441160372191793,-0.1606637503812558,0.11578142963687221,0,30.714285714285715,284,262,22.000000000000007,35,31,33,29,34,30,34,31,30,31,29,30,29,30,30,29,30,30,25,28,31,27,25,30,34,34,36,35
483100-99999,0.045977011494258965,-0.05982603869179698,0.1517800616803149,0,5.285714285714286,174,153,20.99999999999999,11,10,6,3,2,2,2,4,4,3,3,4,4,4,5,6,6,6,6,7,7,7,7,7,6,6,5,5
574110-99999,0.2703886152162077,0.16191519641965835,0.3788620340127571,1,11.928571428571429,18,28,10.000000000000002,11,10,10,11,11,10,10,9,10,10,10,9,9,9,13,12,12,11,11,10,15,15,12,14,14,14,21,21
967970-99999,0.19567597153804425,0.09365734400508725,0.29769459907100126,1,19.535714285714285,272,242,30.000000000000018,18,16,15,18,21,18,16,18,13,19,22,21,20,21,20,19,20,21,20,18,18,24,24,21,23,23,19,21
082800-99999,-0.08565955117679513,-0.2321542745333035,0.06083517217971324,0,38.107142857142854,225,223,2.0000000000000027,38,42,42,40,41,45,42,34,34,38,37,38,36,35,32,36,35,36,39,40,39,35,38,42,41,37,39,36
066120-99999,-0.2014230979748233,-0.27431453740478307,-0.12853165854486354,-1,22.071428571428573,239,251,12.000000000000018,27,25,25,25,25,25,24,23,23,20,20,24,21,20,22,20,20,23,22,20,21,18,22,20,20,21,21,21
030750-99999,0.015325670498087418,-0.09011831409526018,0.12076965509143502,0,57.857142857142854,226,232,6.000000000000009,61,55,55,60,60,58,58,55,58,58,60,55,58,55,56,62,57,59,59,56,55,59,58,59,60,61,55,58
132740-99999,0.1373836891078271,0.03696277377210297,0.23780460444355125,1,23.071428571428573,163,176,12.999999999999979,19,24,24,23,20,20,24,20,19,19,26,23,23,23,24,24,23,22,25,24,26,24,24,26,28,25,23,21
612300-99999,-0.6800766283524993,-0.9404139461650847,-0.41973931053991387,-1,30.035714285714285,67,96,29.000000000000004,40,40,40,41,34,37,33,32,40,41,36,24,24,29,34,29,24,18,17,20,21,32,34,29,22,21,23,26
113100-99999,nan,nan,nan,0,19.074074074074073,nan,304.0,nan,nan,17.0,20.0,21.0,18.0,17.0,18.0,17.0,16.0,9.0,10.0,18.0,22.0,20.0,21.0,20.0,22.0,23.0,20.0,19.0,19.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0
475750-99999,0.02380952380952389,-0.0280315416998506,0.07565058931889838,0,36.75,257,240,17.00000000000001,36,35,35,38,37,35,37,37,38,36,37,40,37,36,38,37,37,36,36,36,36,37,36,37,37,38,37,37
239090-99999,-0.2920087575260045,-0.36947306337417896,-0.2145444516778301,-1,32.75,228,226,2.0000000000000027,35,36,35,33,36,34,35,36,36,35,33,34,35,36,34,34,32,32,33,31,30,31,27,28,30,30,26,30
540120-99999,0.4540229885057584,0.19240314876270043,0.7156428282488163,1,32.67857142857143,254,260,5.999999999999983,33,31,30,29,26,28,31,29,30,30,27,24,22,23,24,28,43,40,43,43,43,37,38,38,35,35,38,37
515420-99999,0.12424740010946952,-0.017291391611597873,0.2657861918305369,0,28.857142857142858,42,51,9.0,26,27,31,32,30,25,24,25,29,28,23,26,27,36,34,27,27,32,30,30,29,27,31,29,32,32,30,29
701740-26533,-0.5900383141762521,-0.716197793807662,-0.4638788345448422,-1,23.5,342,9,27.000000000000014,33,35,35,31,30,27,27,27,27,24,24,25,23,22,22,21,20,17,18,19,17,17,18,17,20,21,21,20
237340-99999,0.005199781061850303,-0.09283850345457632,0.10323806557827693,0,16.821428571428573,91,258,167.0,17,20,18,18,19,19,18,15,12,15,15,17,16,17,16,15,16,16,16,15,16,17,15,15,19,20,18,21
